activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,canonical_smiles,document_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
,508332,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC[C@H](C)[C@H](O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CC(C)C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,6.75,=,=,IC50,nM,176.0,CHEMBL4822,IC50,uM,0.176
,509496,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@@H](O)C(C)C)C(=O)N[C@H](C(=O)N[C@H](C)c1ccccc1)C(C)C,CHEMBL1146699,7.00,=,=,IC50,nM,100.0,CHEMBL4822,IC50,uM,0.1
,509499,CHEMBL653509,In vitro inhibitory activity against Beta-secretase 1 in human HEK293 cells,B,CC[C@H](C)[C@H](O)C(=O)N[C@@H](CC(F)F)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CC(F)F)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146699,5.50,=,=,IC50,nM,3180.0,CHEMBL4822,IC50,uM,3.18
,513170,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,5.98,=,=,IC50,nM,1058.0,CHEMBL4822,IC50,nM,1058.0
,513172,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,7.22,=,=,IC50,nM,60.0,CHEMBL4822,IC50,nM,60.0
,514521,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,7.39,=,=,IC50,nM,41.0,CHEMBL4822,IC50,nM,41.0
,514523,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CC(F)F)NC(=O)OC(C)(C)C)C(=O)NCc1ccncc1,CHEMBL1146698,7.35,=,=,IC50,nM,45.0,CHEMBL4822,IC50,nM,45.0
,524875,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,COCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,6.15,=,=,IC50,nM,705.0,CHEMBL4822,IC50,nM,705.0
,526071,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,7.12,=,=,IC50,nM,75.0,CHEMBL4822,IC50,nM,75.0
,527421,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,7.09,=,=,IC50,nM,82.0,CHEMBL4822,IC50,nM,82.0
,531561,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CCN(C)C)NC(=O)OC(C)(C)C)C(=O)NCc1ccncc1,CHEMBL1146698,4.05,=,=,IC50,nM,89000.0,CHEMBL4822,IC50,uM,89.0
,535556,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,7.20,=,=,IC50,nM,63.0,CHEMBL4822,IC50,nM,63.0
,543439,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,7.16,=,=,IC50,nM,70.0,CHEMBL4822,IC50,nM,70.0
,544641,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC(C)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)(C)O,CHEMBL1146698,7.31,=,=,IC50,nM,49.0,CHEMBL4822,IC50,nM,49.0
,544642,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,COCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,6.90,=,=,IC50,nM,127.0,CHEMBL4822,IC50,nM,127.0
,544644,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,CHEMBL1146698,7.38,=,=,IC50,nM,42.0,CHEMBL4822,IC50,nM,42.0
,544646,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CC(F)(F)C(F)F)NC(=O)OC(C)(C)C)C(=O)NCc1ccncc1,CHEMBL1146698,6.55,=,=,IC50,nM,281.0,CHEMBL4822,IC50,nM,281.0
,545981,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CCCC(F)(F)F)NC(=O)OC(C)(C)C)C(=O)NCc1ccncc1,CHEMBL1146698,6.38,=,=,IC50,nM,419.0,CHEMBL4822,IC50,nM,419.0
,547401,CHEMBL653510,In vitro inhibition of Beta-secretase-1 in HEK293 (Human Embryonic Kidney) cell line.,B,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,CHEMBL1146698,7.55,=,=,IC50,nM,28.0,CHEMBL4822,IC50,nM,28.0
